"m (Meter)"	"qc (MN/m�)"	"fs (kN/m�)"	"u2 (kN/m�)"	"� (Ix)"	"� (Iy)"	" ()"	" ()"	" ()"	"Cm/s"
"21.49"	"20.64"	"78.860"	"202.70"	"-9.74"	"2.72"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"21.50"	"20.37"	"77.460"	"202.70"	"-9.50"	"2.84"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"21.51"	"20.24"	"80.440"	"202.73"	"-10.14"	"2.95"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"21.52"	"20.07"	"81.640"	"202.90"	"-9.62"	"2.84"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"21.53"	"19.85"	"84.440"	"203.05"	"-9.44"	"2.67"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"21.54"	"19.76"	"85.080"	"203.18"	"-9.68"	"2.89"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"21.55"	"19.71"	"84.920"	"203.35"	"-9.56"	"2.84"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"21.56"	"19.68"	"83.240"	"203.71"	"-9.68"	"2.95"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"21.57"	"19.65"	"84.780"	"203.69"	"-9.79"	"2.95"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"21.58"	"19.66"	"84.380"	"203.69"	"-9.74"	"2.84"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"21.59"	"19.73"	"82.060"	"203.63"	"-9.62"	"2.84"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"21.60"	"19.72"	"81.020"	"203.53"	"-9.68"	"2.89"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"21.61"	"19.65"	"77.780"	"203.24"	"-9.62"	"2.78"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"21.62"	"19.48"	"73.780"	"203.78"	"-9.62"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"21.63"	"19.47"	"72.700"	"204.06"	"-9.56"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"21.64"	"19.32"	"75.320"	"203.56"	"-10.03"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"21.65"	"19.20"	"68.000"	"203.66"	"-9.74"	"2.78"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"21.66"	"19.07"	"66.620"	"204.06"	"-9.68"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"21.67"	"18.95"	"66.780"	"203.95"	"-9.44"	"2.95"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"21.68"	"18.81"	"65.360"	"204.02"	"-9.91"	"3.06"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"21.69"	"18.68"	"64.840"	"204.12"	"-9.79"	"2.72"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"21.70"	"18.54"	"66.820"	"204.51"	"-9.62"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"21.71"	"18.35"	"69.040"	"204.79"	"-9.79"	"2.72"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"21.72"	"9.42"	"-9.980"	"202.82"	"-9.79"	"2.67"	"Disabled"	"Disabled"	"Disabled"	"0.05"	
"21.73"	"15.88"	"50.660"	"203.84"	"-9.74"	"2.72"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"21.74"	"17.95"	"68.700"	"203.20"	"-9.62"	"2.78"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"21.75"	"17.98"	"67.640"	"203.85"	"-9.74"	"2.78"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"21.76"	"17.91"	"67.320"	"204.37"	"-9.79"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"21.77"	"17.89"	"67.340"	"204.26"	"-9.74"	"3.06"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"21.78"	"17.81"	"66.660"	"204.30"	"-9.68"	"2.84"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"21.79"	"17.79"	"64.560"	"204.49"	"-9.68"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"21.80"	"17.74"	"65.720"	"204.50"	"-9.79"	"2.89"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"21.81"	"17.70"	"64.900"	"204.72"	"-9.85"	"3.06"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"21.82"	"17.69"	"66.580"	"204.67"	"-9.62"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"21.83"	"17.65"	"66.660"	"204.68"	"-10.03"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"21.84"	"17.64"	"68.180"	"204.82"	"-9.91"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"21.85"	"14.93"	"42.480"	"203.83"	"-9.85"	"2.84"	"Disabled"	"Disabled"	"Disabled"	"0.07"	
"21.86"	"17.24"	"70.520"	"203.05"	"-9.56"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"21.87"	"17.45"	"67.500"	"203.70"	"-9.91"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"21.88"	"17.56"	"65.720"	"203.68"	"-9.68"	"3.06"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"21.89"	"17.68"	"64.940"	"203.53"	"-9.68"	"3.06"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"21.90"	"17.73"	"65.160"	"203.56"	"-9.91"	"3.29"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"21.91"	"17.79"	"64.220"	"204.16"	"-9.74"	"2.89"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"21.92"	"17.97"	"66.740"	"203.70"	"-9.97"	"2.95"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"21.93"	"17.89"	"66.380"	"203.55"	"-9.85"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"21.94"	"17.91"	"67.680"	"203.99"	"-9.91"	"3.06"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"21.95"	"17.74"	"70.660"	"204.56"	"-9.68"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"21.96"	"17.78"	"71.260"	"204.88"	"-9.91"	"3.23"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"21.97"	"17.76"	"70.180"	"204.75"	"-9.56"	"3.23"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"21.98"	"17.76"	"70.740"	"204.76"	"-9.74"	"3.18"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"21.99"	"17.82"	"69.860"	"204.76"	"-9.74"	"2.95"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"22.00"	"17.85"	"71.080"	"204.80"	"-9.97"	"3.06"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.01"	"17.88"	"71.800"	"204.74"	"-9.91"	"3.18"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"22.02"	"17.93"	"71.540"	"204.80"	"-10.14"	"3.18"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"22.03"	"18.02"	"71.520"	"205.01"	"-9.85"	"3.23"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.04"	"18.11"	"71.700"	"205.13"	"-9.74"	"3.06"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"22.05"	"18.19"	"73.640"	"205.35"	"-9.97"	"3.18"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"22.06"	"18.25"	"75.460"	"205.34"	"-9.97"	"3.06"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.07"	"18.28"	"75.640"	"205.39"	"-9.68"	"3.18"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"22.08"	"18.30"	"75.700"	"205.54"	"-9.97"	"3.06"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"22.09"	"18.34"	"74.760"	"205.61"	"-9.91"	"3.18"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.10"	"18.36"	"73.680"	"205.78"	"-9.91"	"3.06"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"22.11"	"18.40"	"73.780"	"205.76"	"-9.85"	"3.06"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"22.12"	"18.42"	"74.500"	"205.81"	"-9.79"	"3.12"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.13"	"18.43"	"74.600"	"205.95"	"-9.91"	"3.12"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"22.14"	"18.40"	"76.340"	"205.79"	"-9.97"	"3.23"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"22.15"	"18.33"	"74.140"	"205.77"	"-9.74"	"3.12"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.16"	"18.20"	"78.460"	"206.30"	"-9.97"	"3.12"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"22.17"	"18.08"	"79.320"	"206.37"	"-9.91"	"3.29"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"22.18"	"17.61"	"80.900"	"206.59"	"-9.85"	"3.12"	"Disabled"	"Disabled"	"Disabled"	"2.44"	
"22.19"	"15.82"	"104.340"	"206.84"	"-9.97"	"2.89"	"Disabled"	"Disabled"	"Disabled"	"0.50"	
"22.20"	"16.76"	"96.500"	"206.88"	"-9.91"	"2.89"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"22.21"	"17.18"	"89.940"	"204.41"	"-9.97"	"2.95"	"Disabled"	"Disabled"	"Disabled"	"0.05"	
"22.22"	"16.99"	"95.380"	"204.30"	"-9.91"	"2.95"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"22.23"	"16.41"	"87.600"	"204.16"	"-9.85"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"0.42"	
"22.24"	"17.59"	"82.900"	"201.76"	"-9.79"	"3.06"	"Disabled"	"Disabled"	"Disabled"	"0.03"	
"22.25"	"17.69"	"78.600"	"202.10"	"-9.97"	"2.95"	"Disabled"	"Disabled"	"Disabled"	"0.99"	
"22.26"	"17.71"	"78.200"	"202.32"	"-9.97"	"3.06"	"Disabled"	"Disabled"	"Disabled"	"1.10"	
"22.27"	"17.68"	"76.840"	"202.65"	"-9.79"	"2.89"	"Disabled"	"Disabled"	"Disabled"	"1.11"	
"22.28"	"17.65"	"74.940"	"203.09"	"-9.85"	"2.89"	"Disabled"	"Disabled"	"Disabled"	"1.10"	
"22.29"	"17.70"	"75.040"	"203.74"	"-9.91"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"1.11"	
"22.30"	"17.70"	"75.780"	"203.68"	"-10.20"	"3.06"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"22.31"	"17.77"	"74.320"	"203.79"	"-10.03"	"3.06"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"22.32"	"17.86"	"74.180"	"204.11"	"-9.91"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"22.33"	"17.99"	"74.820"	"204.03"	"-10.08"	"2.95"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.34"	"18.22"	"72.420"	"204.30"	"-10.14"	"2.95"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"22.35"	"18.42"	"66.080"	"204.34"	"-10.03"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"22.36"	"18.58"	"67.860"	"204.49"	"-9.91"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"2.31"	
"22.37"	"18.90"	"68.440"	"204.49"	"-9.68"	"3.23"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"22.38"	"19.07"	"70.100"	"204.55"	"-10.08"	"3.18"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"22.39"	"19.40"	"68.000"	"204.44"	"-10.26"	"2.95"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"22.40"	"19.56"	"67.780"	"204.48"	"-10.26"	"2.89"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.41"	"19.66"	"69.080"	"204.31"	"-10.38"	"3.06"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"22.42"	"19.77"	"68.160"	"204.89"	"-10.26"	"2.95"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.43"	"19.69"	"69.240"	"204.95"	"-10.14"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"22.44"	"19.70"	"70.240"	"204.87"	"-9.85"	"3.12"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.45"	"19.60"	"73.020"	"204.95"	"-9.97"	"2.95"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"22.46"	"19.54"	"72.000"	"205.55"	"-10.20"	"3.12"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"22.47"	"19.55"	"71.780"	"205.51"	"-10.20"	"3.18"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.48"	"19.52"	"74.320"	"205.97"	"-10.08"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"22.49"	"19.43"	"76.120"	"205.86"	"-10.26"	"3.06"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.50"	"19.35"	"73.520"	"206.33"	"-10.03"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"22.51"	"19.18"	"73.460"	"206.55"	"-10.03"	"3.06"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.52"	"19.14"	"72.400"	"206.85"	"-9.91"	"2.84"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"22.53"	"19.11"	"70.620"	"206.88"	"-9.91"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"22.54"	"19.15"	"71.480"	"207.15"	"-9.74"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.55"	"19.22"	"69.580"	"207.10"	"-9.91"	"3.12"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.56"	"19.37"	"69.340"	"207.33"	"-9.97"	"3.12"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"22.57"	"19.50"	"70.300"	"207.44"	"-10.20"	"2.95"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"22.58"	"19.65"	"70.280"	"207.45"	"-9.97"	"3.01"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.59"	"19.81"	"70.480"	"207.55"	"-10.26"	"2.95"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"22.60"	"19.86"	"68.880"	"207.57"	"-10.32"	"2.95"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.61"	"19.81"	"69.640"	"207.54"	"-10.20"	"3.12"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"22.62"	"19.75"	"70.620"	"207.69"	"-10.14"	"3.12"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"22.63"	"19.65"	"72.380"	"207.71"	"-10.26"	"3.35"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.64"	"19.52"	"72.700"	"207.81"	"-10.20"	"3.12"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"22.65"	"19.43"	"73.400"	"207.80"	"-10.20"	"3.23"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.66"	"19.38"	"73.740"	"208.02"	"-9.97"	"3.29"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"22.67"	"19.34"	"75.920"	"208.12"	"-10.32"	"3.18"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.68"	"19.34"	"74.100"	"208.31"	"-10.08"	"3.12"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"22.69"	"19.39"	"76.220"	"208.34"	"-10.20"	"3.12"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.70"	"18.81"	"85.720"	"207.33"	"-10.26"	"3.06"	"Disabled"	"Disabled"	"Disabled"	"0.05"	
"22.71"	"19.24"	"75.260"	"207.31"	"-10.08"	"3.29"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.72"	"19.29"	"71.960"	"207.94"	"-10.20"	"3.52"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"22.73"	"19.29"	"72.040"	"208.23"	"-10.20"	"3.46"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.74"	"19.31"	"70.020"	"208.56"	"-10.08"	"3.40"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"22.75"	"19.28"	"72.400"	"208.59"	"-10.03"	"3.57"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.76"	"19.26"	"71.340"	"208.67"	"-10.08"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"22.77"	"19.24"	"72.440"	"208.80"	"-10.14"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"22.78"	"19.25"	"71.120"	"208.96"	"-9.97"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.79"	"19.29"	"72.640"	"209.00"	"-10.03"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"22.80"	"19.33"	"73.420"	"209.19"	"-10.03"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.81"	"19.31"	"72.020"	"209.33"	"-9.91"	"3.86"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.82"	"19.26"	"73.320"	"209.52"	"-9.97"	"3.91"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"22.83"	"19.26"	"72.180"	"209.65"	"-9.79"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"22.84"	"19.24"	"73.720"	"209.64"	"-9.85"	"3.57"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"22.85"	"19.22"	"74.320"	"209.81"	"-10.08"	"3.57"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.86"	"19.20"	"75.700"	"210.05"	"-10.20"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"22.87"	"19.31"	"74.100"	"210.09"	"-9.97"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"22.88"	"19.33"	"76.620"	"210.07"	"-9.97"	"3.91"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.89"	"19.30"	"74.220"	"210.13"	"-10.20"	"4.03"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"22.90"	"19.23"	"73.720"	"210.39"	"-9.85"	"4.03"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.91"	"19.19"	"74.160"	"210.41"	"-10.38"	"3.91"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"22.92"	"19.11"	"76.040"	"210.53"	"-9.79"	"3.97"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"22.93"	"18.86"	"76.940"	"210.44"	"-10.26"	"4.14"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.94"	"18.82"	"76.740"	"210.55"	"-9.79"	"3.91"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"22.95"	"18.85"	"75.600"	"210.30"	"-9.74"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"22.96"	"18.98"	"73.660"	"210.65"	"-9.91"	"3.91"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"22.97"	"18.47"	"79.500"	"211.37"	"-9.91"	"3.97"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"22.98"	"18.35"	"74.680"	"209.02"	"-10.14"	"4.03"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"22.99"	"18.42"	"77.460"	"209.81"	"-10.20"	"3.97"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"23.00"	"18.22"	"76.200"	"210.26"	"-9.85"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.01"	"18.26"	"69.720"	"210.63"	"-9.85"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"23.02"	"18.32"	"79.300"	"210.60"	"-10.26"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"23.03"	"18.41"	"74.720"	"210.96"	"-10.03"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.04"	"18.48"	"73.940"	"211.63"	"-10.03"	"4.09"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"23.05"	"18.52"	"73.380"	"211.37"	"-10.03"	"4.03"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"23.06"	"18.52"	"73.840"	"211.18"	"-10.08"	"4.09"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.07"	"18.61"	"73.060"	"211.37"	"-10.14"	"3.91"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"23.08"	"18.75"	"73.040"	"211.85"	"-10.14"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.09"	"18.87"	"70.980"	"211.92"	"-10.14"	"3.97"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"23.10"	"18.93"	"74.500"	"212.00"	"-9.74"	"3.86"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.11"	"18.94"	"78.060"	"211.72"	"-10.20"	"3.97"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"23.12"	"19.35"	"72.080"	"211.80"	"-9.97"	"3.86"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"23.13"	"19.32"	"78.080"	"211.32"	"-9.79"	"3.91"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.14"	"19.33"	"77.780"	"215.27"	"-9.97"	"4.03"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"23.15"	"19.38"	"79.480"	"211.95"	"-9.97"	"3.97"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.16"	"19.48"	"73.160"	"210.89"	"-9.97"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.17"	"19.12"	"74.000"	"211.10"	"-9.85"	"3.97"	"Disabled"	"Disabled"	"Disabled"	"0.09"	
"23.18"	"19.40"	"81.520"	"210.88"	"-10.43"	"3.86"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"23.19"	"19.56"	"78.420"	"211.42"	"-10.14"	"4.09"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"23.20"	"19.70"	"74.940"	"212.03"	"-10.20"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.21"	"19.73"	"73.420"	"212.34"	"-10.08"	"3.86"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.22"	"19.77"	"73.900"	"212.26"	"-10.14"	"3.86"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.23"	"19.79"	"75.060"	"212.39"	"-10.43"	"4.03"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.24"	"19.90"	"74.740"	"212.20"	"-10.20"	"4.03"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"23.25"	"19.93"	"76.300"	"213.06"	"-10.20"	"3.97"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.26"	"20.14"	"84.240"	"212.63"	"-10.20"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.27"	"20.17"	"92.040"	"211.35"	"-10.38"	"3.97"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.28"	"20.07"	"96.980"	"213.44"	"-9.85"	"3.12"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.29"	"19.88"	"84.800"	"213.16"	"-9.74"	"3.23"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.30"	"19.68"	"83.800"	"211.16"	"-10.03"	"3.91"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"23.31"	"19.96"	"70.200"	"212.50"	"-10.08"	"3.35"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"23.32"	"19.66"	"75.180"	"208.79"	"-9.56"	"3.91"	"Disabled"	"Disabled"	"Disabled"	"2.05"	
"23.33"	"19.55"	"64.800"	"209.48"	"-10.20"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"23.34"	"19.80"	"64.720"	"210.92"	"-10.38"	"4.31"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.35"	"19.61"	"66.820"	"212.87"	"-10.14"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"23.36"	"19.65"	"73.400"	"214.98"	"-9.85"	"3.46"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.37"	"19.31"	"74.860"	"213.23"	"-10.26"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"23.38"	"19.29"	"74.880"	"213.01"	"-10.08"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"23.39"	"18.86"	"85.640"	"215.13"	"-10.26"	"3.46"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.40"	"18.59"	"94.720"	"214.25"	"-10.49"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.41"	"18.62"	"96.960"	"214.79"	"-10.03"	"3.52"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.42"	"18.52"	"96.980"	"214.91"	"-10.26"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"23.43"	"18.46"	"98.080"	"214.86"	"-10.43"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.44"	"18.44"	"97.000"	"215.33"	"-10.26"	"3.91"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.45"	"18.43"	"92.520"	"215.78"	"-10.38"	"3.40"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"23.46"	"18.46"	"82.680"	"215.69"	"-10.73"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.47"	"18.65"	"82.900"	"215.69"	"-10.20"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"23.48"	"18.84"	"78.860"	"215.80"	"-9.97"	"3.86"	"Disabled"	"Disabled"	"Disabled"	"2.05"	
"23.49"	"19.10"	"80.540"	"215.87"	"-10.20"	"3.91"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"23.50"	"19.27"	"78.280"	"215.90"	"-10.14"	"3.91"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.51"	"19.43"	"77.500"	"216.01"	"-10.26"	"3.86"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.52"	"19.46"	"67.600"	"216.58"	"-10.26"	"3.86"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.53"	"19.48"	"68.300"	"216.38"	"-10.03"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"23.54"	"19.51"	"61.100"	"216.15"	"-10.08"	"4.09"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"23.55"	"19.60"	"57.840"	"215.98"	"-10.03"	"4.20"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.56"	"19.63"	"58.600"	"216.01"	"-10.03"	"4.03"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.57"	"19.62"	"58.320"	"216.20"	"-10.08"	"3.97"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"23.58"	"19.82"	"58.840"	"216.34"	"-10.26"	"3.91"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"23.59"	"19.96"	"60.440"	"216.36"	"-9.85"	"4.25"	"Disabled"	"Disabled"	"Disabled"	"2.05"	
"23.60"	"20.04"	"57.580"	"216.60"	"-10.26"	"3.97"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"23.61"	"19.84"	"60.920"	"215.90"	"-10.20"	"3.97"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"23.62"	"19.95"	"74.000"	"217.19"	"-10.32"	"4.09"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
